"Statistic Label","CensusYear","Age Group","Principal Economic Status","Sex","Detailed Marital Status","UNIT","VALUE"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Both sexes","All marital status","Number","3608662"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Both sexes","Single","Number","1505035"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Both sexes","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Both sexes","Married (first marriage)","Number","1655906"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Both sexes","Re-married","Number","52698"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Both sexes","Separated","Number","116194"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Both sexes","Divorced","Number","87770"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Both sexes","Widowed","Number","191059"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Male","All marital status","Number","1771510"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Male","Single","Number","784423"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Male","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Male","Married (first marriage)","Number","825764"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Male","Re-married","Number","29323"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Male","Separated","Number","50833"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Male","Divorced","Number","38085"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Male","Widowed","Number","43082"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Female","All marital status","Number","1837152"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Female","Single","Number","720612"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Female","Registered same-sex civil partnership","Number","0"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Female","Married (first marriage)","Number","830142"
"Population Aged 15 Years and Over","2011","All ages","All persons aged 15 years and over","Female","Re-married","Number","23375"
