"Statistic Label","CensusYear","Principal Economic Status","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Total education ceased and not ceased","Number","3608662"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","No formal education","Number","42387"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Primary","Number","414509"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Lower secondary","Number","499489"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Upper secondary","Number","601498"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Technical/vocational","Number","258697"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Advanced certificate/completed apprenticeship","Number","171925"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Higher certificate","Number","135122"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","221977"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Honours bachelor degree/professional qualification or both","Number","271301"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Postgraduate diploma or degree","Number","224744"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Doctorate (Ph.D.)","Number","21970"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Not stated","Number","139871"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Economic status - total at school, university, etc.","Number","408838"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Both sexes","Economic status - other","Number","196334"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Total education ceased and not ceased","Number","1771510"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","No formal education","Number","23086"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Primary","Number","216530"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Lower secondary","Number","268192"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Upper secondary","Number","274842"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Technical/vocational","Number","120366"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Advanced certificate/completed apprenticeship","Number","116900"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Higher certificate","Number","59359"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Ordinary bachelor degree/professional qualification or both","Number","98460"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Honours bachelor degree/professional qualification or both","Number","120962"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Postgraduate diploma or degree","Number","94295"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Doctorate (Ph.D.)","Number","13018"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Not stated","Number","67473"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Economic status - total at school, university, etc.","Number","201203"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Male","Economic status - other","Number","96824"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Total education ceased and not ceased","Number","1837152"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","No formal education","Number","19301"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Primary","Number","197979"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Lower secondary","Number","231297"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Upper secondary","Number","326656"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Technical/vocational","Number","138331"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Advanced certificate/completed apprenticeship","Number","55025"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Higher certificate","Number","75763"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Ordinary bachelor degree/professional qualification or both","Number","123517"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Honours bachelor degree/professional qualification or both","Number","150339"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Postgraduate diploma or degree","Number","130449"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Doctorate (Ph.D.)","Number","8952"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Not stated","Number","72398"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Economic status - total at school, university, etc.","Number","207635"
"Population Aged 15 Years and Over","2011","All persons aged 15 years and over","Female","Economic status - other","Number","99510"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Total education ceased and not ceased","Number","1807360"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","No formal education","Number","7030"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Primary","Number","91362"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Lower secondary","Number","225394"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Upper secondary","Number","348083"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Technical/vocational","Number","155527"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Advanced certificate/completed apprenticeship","Number","121164"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Higher certificate","Number","97518"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","160554"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Honours bachelor degree/professional qualification or both","Number","223884"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Postgraduate diploma or degree","Number","186638"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Doctorate (Ph.D.)","Number","17772"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Not stated","Number","56998"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Persons at work","Both sexes","Economic status - other","Number","115436"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Total education ceased and not ceased","Number","954541"
"Population Aged 15 Years and Over","2011","Persons at work","Male","No formal education","Number","4701"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Primary","Number","62142"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Lower secondary","Number","145447"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Upper secondary","Number","178629"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Technical/vocational","Number","76224"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Advanced certificate/completed apprenticeship","Number","85035"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Higher certificate","Number","45137"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Ordinary bachelor degree/professional qualification or both","Number","75342"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Honours bachelor degree/professional qualification or both","Number","101513"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Postgraduate diploma or degree","Number","79425"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Doctorate (Ph.D.)","Number","10346"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Not stated","Number","31732"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Persons at work","Male","Economic status - other","Number","58868"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Total education ceased and not ceased","Number","852819"
"Population Aged 15 Years and Over","2011","Persons at work","Female","No formal education","Number","2329"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Primary","Number","29220"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Lower secondary","Number","79947"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Upper secondary","Number","169454"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Technical/vocational","Number","79303"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Advanced certificate/completed apprenticeship","Number","36129"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Higher certificate","Number","52381"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Ordinary bachelor degree/professional qualification or both","Number","85212"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Honours bachelor degree/professional qualification or both","Number","122371"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Postgraduate diploma or degree","Number","107213"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Doctorate (Ph.D.)","Number","7426"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Not stated","Number","25266"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Persons at work","Female","Economic status - other","Number","56568"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Total education ceased and not ceased","Number","34166"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","No formal education","Number","282"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Primary","Number","1790"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Lower secondary","Number","4797"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Upper secondary","Number","8973"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Technical/vocational","Number","2798"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Advanced certificate/completed apprenticeship","Number","944"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Higher certificate","Number","765"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","1322"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Honours bachelor degree/professional qualification or both","Number","2930"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Postgraduate diploma or degree","Number","1748"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Doctorate (Ph.D.)","Number","176"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Not stated","Number","976"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Both sexes","Economic status - other","Number","6665"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Total education ceased and not ceased","Number","19512"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","No formal education","Number","183"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Primary","Number","1177"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Lower secondary","Number","3216"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Upper secondary","Number","5628"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Technical/vocational","Number","1375"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Advanced certificate/completed apprenticeship","Number","525"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Higher certificate","Number","342"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Ordinary bachelor degree/professional qualification or both","Number","689"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Honours bachelor degree/professional qualification or both","Number","1437"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Postgraduate diploma or degree","Number","816"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Doctorate (Ph.D.)","Number","93"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Not stated","Number","578"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Male","Economic status - other","Number","3453"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Total education ceased and not ceased","Number","14654"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","No formal education","Number","99"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Primary","Number","613"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Lower secondary","Number","1581"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Upper secondary","Number","3345"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Technical/vocational","Number","1423"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Advanced certificate/completed apprenticeship","Number","419"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Higher certificate","Number","423"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Ordinary bachelor degree/professional qualification or both","Number","633"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Honours bachelor degree/professional qualification or both","Number","1493"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Postgraduate diploma or degree","Number","932"
"Population Aged 15 Years and Over","2011","Unemployed looking for first regular job","Female","Doctorate (Ph.D.)","Number","83"
